行号   | left.txt                                           | 行号   | right.txt                                          | 状态  
    47 | read_timeout = 30                                  |     49 | read_timeout = 30                                  | Equal 
    48 | [31mretry = 3[0m                                          |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     50 | [32mretry = 5[0m                                          | Insert
    49 | proxy = disabled                                   |     51 | proxy = disabled                                   | Equal 
    50 |                                                    |     52 |                                                    | Equal 
    51 | [database]                                         |     53 | [database]                                         | Equal 
    52 | driver = mysql                                     |     54 | driver = mysql                                     | Equal 
    53 | host = db.example.com                              |     55 | host = db.example.com                              | Equal 
    54 | port = 3306                                        |     56 | port = 3306                                        | Equal 
    55 | database = simple_compare                          |     57 | database = simple_compare                          | Equal 
    56 | user = stc_user                                    |     58 | user = stc_user                                    | Equal 
    57 | [31mpassword = simpletext[0m                              |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     59 | [32mpassword = simpletext2026[0m                          | Insert
    58 | pool_size = 20                                     |     60 | pool_size = 20                                     | Equal 
    59 | idle_timeout = 300                                 |     61 | idle_timeout = 300                                 | Equal 
    60 |                                                    |     62 |                                                    | Equal 
    61 | [logging]                                          |     63 | [logging]                                          | Equal 
    62 | level = INFO                                       |     64 | level = INFO                                       | Equal 
    63 | target = stdout                                    |     65 | target = stdout                                    | Equal 
    64 | file = logs/stc.log                                |     66 | file = logs/stc.log                                | Equal 
    65 | rotate = daily                                     |     67 | rotate = daily                                     | Equal 
    66 | max_files = 14                                     |     68 | max_files = 14                                     | Equal 
    67 | [31mformat = text[0m                                      |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     69 | [32mformat = json[0m                                      | Insert
    68 | include_thread = false                             |     70 | include_thread = false                             | Equal 
    69 |                                                    |     71 |                                                    | Equal 
    70 | [feature]                                          |     72 | [feature]                                          | Equal 
    71 | split_view = true                                  |     73 | split_view = true                                  | Equal 
    72 | inline_diff = true                                 |     74 | inline_diff = true                                 | Equal 
    73 | fold = false                                       |     75 | fold = false                                       | Equal 
    74 | search = true                                      |     76 | search = true                                      | Equal 
    75 | export = true                                      |     77 | export = true                                      | Equal 
    76 | [31mlegacy_mode = false[0m                                |      / | [31m-[0m                                                  | Delete
    77 |                                                    |     78 |                                                    | Equal 
    78 | [diagnostics]                                      |     79 | [diagnostics]                                      | Equal 
    79 | collect_metrics = true                             |     80 | collect_metrics = true                             | Equal 
    80 | endpoint = /metrics                                |     81 | endpoint = /metrics                                | Equal 
    81 | interval_seconds = 60                              |     82 | interval_seconds = 60                              | Equal 
    82 |                                                    |     83 |                                                    | Equal 
    83 | [deployment]                                       |     84 | [deployment]                                       | Equal 
    84 | [31mprimary_region = shanghai[0m                          |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |     85 | [32mbackup_region = beijing[0m                            | Insert
    85 | replicas = 2                                       |     86 | replicas = 2                                       | Equal 
    86 | cpu_limit = 2                                      |     87 | cpu_limit = 2                                      | Equal 
    87 | memory_limit = 512Mi                               |     88 | memory_limit = 512Mi                               | Equal 
    88 | rolling_update = true                              |     89 | rolling_update = true                              | Equal 
    89 | health_check = /health                             |     90 | health_check = /health                             | Equal 
    90 |                                                    |     91 |                                                    | Equal 
    91 | [notes]                                            |     92 | [notes]                                            | Equal 
    92 | 中文说明：目前输出在命令下方直接显示，长文本可能造 |     93 | 中文说明：目前输出在命令下方直接显示，长文本可能造 | Equal 
     / | 成终端滚动和查看不便。                             |      / | 成终端滚动和查看不便。                             |       
    93 | Unicode 示例：简体中文、繁體中文、日本語、한국어、 |     94 | Unicode 示例：简体中文、繁體中文、日本語、한국어、 | Equal 
     / | emoji😀                                            |      / | emoji😀                                            |       
    94 | Long line: AAAABBBBCCCCDDDDEEEEFFFFGGGGHHHHIIIIJJJ |     95 | Long line: AAAABBBBCCCCDDDDEEEEFFFFGGGGHHHHIIIIJJJ | Equal 
     / | JKKKKLLLLMMMMNNNNOOOOPPPPQQQQRRRRSSSSTTTT          |      / | JKKKKLLLLMMMMNNNNOOOOPPPPQQQQRRRRSSSSTTTT          |       
    95 | Code line: let result = compare_file(left_path, ri |     96 | Code line: let result = compare_file(left_path, ri | Equal 
     / | ght_path, options).context("compare failed")?;     |      / | ght_path, options).context("compare failed")?;     |       
    96 | Same line: 这一行在左右文件中完全相同，用来测试上  |     97 | Same line: 这一行在左右文件中完全相同，用来测试上  | Equal 
     / | 下文显示。                                         |      / | 下文显示。                                         |       
    97 | Same line: 这一行继续保持不变，确保差异块之间有足  |     98 | Same line: 这一行继续保持不变，确保差异块之间有足  | Equal 
     / | 够的公共内容。                                     |      / | 够的公共内容。                                     |       
    98 | Same line: 分页时应该能够完整显示这一部分，不会因  |     99 | Same line: 分页时应该能够完整显示这一部分，不会因  | Equal 
     / | 为过长而丢失。                                     |      / | 为过长而丢失。                                     |       
    99 |                                                    |    100 |                                                    | Equal 
   100 | [summary]                                          |    101 | [summary]                                          | Equal 
   101 | status = ready                                     |    102 | status = ready                                     | Equal 
   102 | [31mchecks = 18[0m                                        |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |    103 | [32mchecks = 20[0m                                        | Insert
   103 | warnings = 0                                       |    104 | warnings = 0                                       | Equal 
   104 | errors = 0                                         |    105 | errors = 0                                         | Equal 
   105 | [31mmessage = left file completed successfully[0m         |      / | [31m-[0m                                                  | Delete
     / | [32m-[0m                                                  |    106 | [32mmessage = right file completed successfully[0m        | Insert
